"","year","max_temp"
"1",1940,27.990246
"2",1941,31.450245
"3",1942,31.020245
"4",1943,35.370247
"5",1944,36.20025
"6",1945,33.86025
"7",1946,32.780247
"8",1947,34.300247
"9",1948,28.980246
"10",1949,35.02025
"11",1950,34.240246
"12",1951,30.830246
"13",1952,35.600246
"14",1953,30.750246
"15",1954,30.960245
"16",1955,31.850245
"17",1956,29.720245
"18",1957,35.030247
"19",1958,32.370247
"20",1959,33.160248
"21",1960,30.300245
"22",1961,31.400246
"23",1962,34.420246
"24",1963,30.720245
"25",1964,35.250248
"26",1965,31.480246
"27",1966,32.970245
"28",1967,31.750246
"29",1968,33.20025
"30",1969,31.380245
"31",1970,31.680244
"32",1971,34.550247
"33",1972,30.740246
"34",1973,31.880245
"35",1974,34.460247
"36",1975,32.650246
"37",1976,34.640247
"38",1977,29.970245
"39",1978,30.220245
"40",1979,31.310246
"41",1980,31.910246
"42",1981,30.530245
"43",1982,32.720245
"44",1983,38.38025
"45",1984,35.780247
"46",1985,34.060246
"47",1986,35.11025
"48",1987,31.930244
"49",1988,33.570248
"50",1989,33.250248
"51",1990,34.320248
"52",1991,34.850246
"53",1992,35.310246
"54",1993,32.800247
"55",1994,35.310246
"56",1995,34.400246
"57",1996,31.410246
"58",1997,31.500246
"59",1998,36.900246
"60",1999,31.770245
"61",2000,32.960247
"62",2001,33.04025
"63",2002,34.70025
"64",2003,38.490246
"65",2004,32.100246
"66",2005,34.350246
"67",2006,35.600246
"68",2007,33.36025
"69",2008,31.970245
"70",2009,36.20025
"71",2010,36.27025
"72",2011,35.77025
"73",2012,35.030247
"74",2013,36.910248
"75",2014,35.620247
"76",2015,38.220245
"77",2016,35.59025
"78",2017,34.750248
"79",2018,35.79025
"80",2019,38.570248
"81",2020,37.20025
"82",2021,32.510246
"83",2022,37.640247
"84",2023,36.150246
"85",2024,34.77025
